age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
53,F,City,Silver Membership,Yes,Without Offers,Desktop,Wi-Fi,7.0,32.46,11654.35,736.57,No,Yes,No,Not Applicable,Poor Website,0
63,M,City,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,17.0,296.48,26521.29,654.5,No,Yes,No,Not Applicable,No reason specified,1
46,M,City,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14.0,175.76,58793.66,848.33,No,Yes,No,Not Applicable,User Friendly Website,0
63,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11.0,164.87,37543.67,785.44,No,Yes,No,Not Applicable,No reason specified,0
52,F,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,22.0,89.43,35672.63,744.21,No,Yes,No,Not Applicable,Products always in Stock,0
37,F,City,No Membership,Yes,Without Offers,Both,Fiber_Optic,6.0,967.95,38679.35,601.64,Yes,No,Yes,No Information Available,Poor Website,1
64,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12.0,-515.8523004,59105.37,805.15,Yes,No,Yes,Unsolved,Quality Customer Care,0
54,M,City,No Membership,No,Without Offers,Smartphone,Wi-Fi,6.0,843.2253045,31145.77,139.4817924,No,Yes,No,Not Applicable,Poor Product Quality,1
46,M,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,7.0,34.71,36450.9,758.87,Yes,No,Yes,Solved,Poor Website,0
16,M,Village,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,25.0,104.92,19548.12,697.62,No,Yes,No,Not Applicable,Poor Product Quality,1
51,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,16.0,170.07,27690.79,731.95,No,Yes,Yes,No Information Available,Too many ads,0
26,M,Town,Platinum Membership,Yes,Without Offers,Smartphone,Wi-Fi,7.0,978.21,20990.22,753.53,Yes,Yes,No,Not Applicable,Products always in Stock,0
24,M,Town,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,17.0,445.94,35074.7,51.16348936,No,Yes,Yes,Unsolved,No reason specified,1
52,M,Town,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,10.0,84.88,42479.37,784.884233,No,Yes,No,Not Applicable,Poor Customer Service,0
39,M,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,16.0,32.19,10013.04,374.197126,No,Yes,No,Not Applicable,No reason specified,0
34,F,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,,138.4,20384.63,757.31,Yes,No,No,Not Applicable,Poor Website,0
50,M,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,6.0,48.66,3054.71,672.78,No,Yes,No,Not Applicable,No reason specified,1
19,M,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,6.0,37.4,23572.37,684.28,Yes,No,Yes,No Information Available,Too many ads,1
23,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,630.95,34793.01,754.36,Yes,No,Yes,No Information Available,Too many ads,0
54,F,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21.0,203.06,13144.98,697.62,Yes,No,Yes,No Information Available,Too many ads,1
54,F,City,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,,834.3585688,71680.91,706.24,No,Yes,No,Not Applicable,User Friendly Website,0
31,F,Town,Platinum Membership,No,Without Offers,Smartphone,Mobile_Data,11.0,440.64,25005.09,752.12,Yes,No,Yes,Solved in Follow-up,Poor Website,0
53,F,Town,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,19.0,305.87,36331.1,797.42,Yes,Yes,Yes,Unsolved,Poor Customer Service,0
14,M,City,No Membership,Yes,Credit/Debit Card Offers,Both,Wi-Fi,16.0,2567.825647,42933.16,238.6510408,Yes,Yes,Yes,Solved,No reason specified,1
38,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16.0,173.28,47269.35,673.35,Yes,No,No,Not Applicable,Poor Customer Service,1
52,M,Town,Basic Membership,Yes,Without Offers,Desktop,Wi-Fi,21.0,65.81,4876.73,595.15,No,Yes,Yes,Unsolved,Poor Customer Service,1
30,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,4.0,735.73,39440.16,628.92,Yes,No,Yes,Solved in Follow-up,Too many ads,1
52,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,21.0,165.94,88132.71,793.21,Yes,No,No,Not Applicable,Products always in Stock,0
24,F,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,6.0,681.78,25709.12,717.49,Yes,No,No,Not Applicable,Poor Customer Service,0
39,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,9.0,33.29,14674.58,736.39,Yes,No,No,Not Applicable,Poor Product Quality,0
61,M,Town,Premium Membership,Yes,Without Offers,Smartphone,Wi-Fi,15.0,66.21,45327.68,749.69,Yes,No,Yes,Solved,Poor Product Quality,0
30,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11.0,33.82,12705.76,619.74,No,Yes,Yes,No Information Available,No reason specified,1
17,F,Village,Basic Membership,Yes,Without Offers,Desktop,Fiber_Optic,13.0,379.0,44827.33,687.03,No,Yes,No,Not Applicable,Too many ads,1
27,F,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,19.0,-613.921108,76190.38,782.47,No,Yes,Yes,No Information Available,Products always in Stock,0
51,F,Village,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17.0,1162.52,884.38,550.38,Yes,No,No,Not Applicable,Poor Website,1
30,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,9.0,46.21,36217.73,666.24,No,Yes,Yes,Solved,Too many ads,1
18,M,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,7.0,644.68,44819.67,727.62,No,Yes,Yes,No Information Available,Poor Website,0
57,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,3.0,33.99,44516.21,663.13,No,Yes,Yes,Solved,Poor Website,1
29,M,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,6.0,-1022.477055,28647.2,548.27,No,Yes,No,Not Applicable,Poor Customer Service,1
46,F,Town,Silver Membership,Yes,Without Offers,Desktop,Mobile_Data,22.0,60.3,8471.49,697.62,Yes,No,No,Not Applicable,Poor Product Quality,0
63,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10.0,360.36,56919.32,763.49,No,Yes,Yes,Unsolved,Reasonable Price,0
26,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,13.0,651.83,42642.47,314.6534386,Yes,No,No,Not Applicable,Poor Product Quality,1
24,M,City,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,18.0,36.52,38138.54,1014.702117,No,Yes,No,Not Applicable,No reason specified,0
35,M,City,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,7.0,212.66,28964.23,710.98,Yes,Yes,Yes,Unsolved,No reason specified,0
43,F,Village,No Membership,No,Without Offers,Smartphone,Mobile_Data,17.0,-866.1964642,34255.99,668.22,Yes,No,No,Not Applicable,Poor Website,1
47,F,Town,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,17.0,31.81,7083.79,1535.491815,No,Yes,Yes,Unsolved,No reason specified,1
22,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14.0,43.43,24239.65,657.46,No,Yes,Yes,Solved,No reason specified,1
64,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,19.0,220.03,37965.09,697.62,Yes,No,Yes,No Information Available,No reason specified,1
40,M,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,6.0,148.32,15975.31,794.79,Yes,No,No,Not Applicable,No reason specified,0
56,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12.0,849.49,44891.85,521.16,No,Yes,No,Not Applicable,Poor Website,1
53,F,Town,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,22.0,-414.4490667,49377.76,343.0391164,No,Yes,Yes,Solved,Too many ads,1
53,F,Town,Silver Membership,No,Without Offers,Both,Fiber_Optic,9.0,1093.73,47956.62,786.19,Yes,Yes,No,Not Applicable,User Friendly Website,0
10,M,Town,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,17.0,831.74,26761.75,1164.85473,Yes,No,No,Not Applicable,Poor Customer Service,1
38,F,Town,Silver Membership,Yes,Without Offers,Both,Mobile_Data,13.0,467.31,18406.24,606.3,No,Yes,No,Not Applicable,Poor Customer Service,1
59,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10.0,72.09,44370.22,766.33,Yes,No,Yes,Unsolved,Poor Customer Service,0
35,F,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,25.0,119.4,19071.36,680.3,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
57,F,Village,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,12.0,1501.678584,66432.13,759.13,Yes,Yes,Yes,Unsolved,User Friendly Website,0
58,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,22.0,110.64,42813.84,660.84,Yes,No,Yes,Solved in Follow-up,Too many ads,1
36,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19.0,568.76,40657.36,697.46,Yes,Yes,Yes,No Information Available,Too many ads,1
33,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20.0,271.87,37808.37,589.4,Yes,No,No,Not Applicable,Too many ads,1
21,F,City,Premium Membership,Yes,Without Offers,Smartphone,Mobile_Data,20.0,30.38,44866.16,385.7056719,Yes,No,No,Not Applicable,Poor Customer Service,0
61,F,Town,No Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,18.0,231.7,13000.97,1246.80529,No,Yes,No,Not Applicable,No reason specified,1
14,M,City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,14.0,1087.21,6542.82,648.71,Yes,Yes,No,Not Applicable,Poor Customer Service,1
24,M,City,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,22.0,225.4,33562.92,652.41,Yes,Yes,No,Not Applicable,Poor Customer Service,1
64,M,City,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,14.0,222.92,33519.94,528.9,Yes,No,Yes,Solved in Follow-up,Poor Website,1
17,F,Village,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,24.0,146.33,12430.01,615.85,No,Yes,Yes,Solved in Follow-up,Poor Website,1
26,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11.0,150.54,22168.74,697.62,Yes,No,Yes,Unsolved,Too many ads,1
27,F,City,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,3.0,670.48,21998.37,626.15,No,Yes,Yes,Unsolved,Poor Customer Service,1
44,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13.0,264.68,4120.77,503.41,Yes,No,Yes,Solved,Poor Product Quality,1
16,F,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,4.0,322.37,19521.02,741.06,Yes,No,Yes,Solved,Quality Customer Care,0
14,M,Village,Gold Membership,No,Credit/Debit Card Offers,Both,Fiber_Optic,,231.62,44468.86,674.82,No,Yes,No,Not Applicable,Poor Product Quality,1
32,M,Village,Premium Membership,No,Without Offers,Smartphone,Wi-Fi,10.0,223.0,53108.9,715.28,Yes,Yes,Yes,No Information Available,Products always in Stock,0
13,M,Town,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,5.0,1284.952043,25561.8,749.77,No,Yes,No,Not Applicable,Too many ads,0
59,F,Village,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11.0,117.86,35286.03,760.46,Yes,No,No,Not Applicable,Reasonable Price,0
62,F,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,20.0,266.0,19111.39,697.62,Yes,No,Yes,No Information Available,Poor Customer Service,1
45,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15.0,242.25,25536.37,693.54,Yes,No,No,Not Applicable,Poor Website,1
15,F,Town,Silver Membership,No,Without Offers,Desktop,Wi-Fi,23.0,57.08,38637.44,783.36,No,Yes,Yes,No Information Available,No reason specified,0
27,M,City,Premium Membership,No,Without Offers,Desktop,Mobile_Data,7.0,160.99,23230.76,697.62,Yes,No,Yes,No Information Available,Too many ads,0
63,F,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14.0,474.8,5983.06,656.15,No,Yes,Yes,No Information Available,No reason specified,1
25,M,Town,Silver Membership,No,Without Offers,Desktop,Wi-Fi,13.0,82.06,24706.35,697.62,No,Yes,No,Not Applicable,No reason specified,1
24,F,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18.0,573.22,6983.39,795.93,No,Yes,Yes,Solved in Follow-up,User Friendly Website,0
49,M,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,15.0,1105.361081,31468.43,544.21,Yes,No,Yes,Unsolved,Poor Product Quality,1
55,F,Town,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,4.0,200.23,7948.53,631.44,No,Yes,No,Not Applicable,Poor Website,1
18,M,Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,16.0,-813.2624703,35469.76,697.62,Yes,No,Yes,Unsolved,No reason specified,0
42,F,City,Silver Membership,No,Without Offers,Desktop,Wi-Fi,14.0,909.9809389,26974.77,715.38,No,Yes,No,Not Applicable,Too many ads,1
57,M,Town,Gold Membership,Yes,Without Offers,Desktop,Mobile_Data,10.0,-944.4574507,7259.47,996.1330825,Yes,No,Yes,Unsolved,Poor Customer Service,1
27,F,City,No Membership,No,Without Offers,Desktop,Fiber_Optic,16.0,319.6,37235.0,509.0,No,Yes,No,Not Applicable,Poor Website,1
58,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,7.0,75.35,43510.45,697.62,No,Yes,No,Not Applicable,No reason specified,0
48,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12.0,72.45,15216.82,1022.13673,No,Yes,No,Not Applicable,Poor Customer Service,0
52,M,City,Basic Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,7.0,408.87,6133.01,63.38884762,Yes,No,Yes,Unsolved,Poor Product Quality,1
62,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10.0,231.62,14333.33,791.04,Yes,No,No,Not Applicable,No reason specified,0
37,F,City,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,12.0,33.46,17430.74,668.61,Yes,No,Yes,Solved in Follow-up,No reason specified,1
42,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,,258.97,40137.66,697.62,No,Yes,Yes,No Information Available,Poor Product Quality,0
61,M,City,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,18.0,103.87,11376.4,568.41,Yes,No,No,Not Applicable,Poor Customer Service,1
45,M,City,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16.0,181.77,90755.61,710.95,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
46,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13.0,188.09,32920.77,798.72,Yes,No,Yes,Solved in Follow-up,Poor Website,0
50,F,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10.0,156.14,33911.35,818.08,Yes,No,No,Not Applicable,Products always in Stock,0
45,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,19.0,137.68,41904.93,685.23,No,Yes,Yes,No Information Available,Poor Product Quality,1
10,M,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15.0,291.48,24985.23,690.4,Yes,No,Yes,Solved,Too many ads,1
54,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9.0,75.05,37278.23,779.29,No,Yes,Yes,Unsolved,Poor Website,0
48,M,Town,Basic Membership,Yes,Without Offers,Smartphone,Wi-Fi,17.0,-839.4214762,32412.56,589.73,No,Yes,No,Not Applicable,No reason specified,1
46,F,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,15.0,83.9,92784.64,798.97,No,Yes,Yes,Unsolved,Quality Customer Care,0
19,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,21.0,136.08,30286.05,631.3,No,Yes,No,Not Applicable,No reason specified,1
28,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,,32.92,29920.19,764.26,Yes,No,Yes,Solved,Too many ads,0
10,F,Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13.0,90.87,11931.11,754.24,Yes,No,Yes,Unsolved,Poor Product Quality,0
20,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10.0,309.43,37583.33,532.43,No,Yes,Yes,No Information Available,Poor Product Quality,1
58,M,Village,Silver Membership,No,Without Offers,Desktop,Mobile_Data,12.0,341.63,33865.77,420.9819835,No,Yes,No,Not Applicable,Poor Product Quality,0
40,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,23.0,876.4256867,19092.53,1101.972137,No,Yes,Yes,Unsolved,Poor Customer Service,1
26,M,Town,Platinum Membership,No,Without Offers,Both,Wi-Fi,3.0,227.97,90682.03,787.42,Yes,Yes,No,Not Applicable,Reasonable Price,0
31,F,Village,Silver Membership,Yes,Without Offers,Desktop,Mobile_Data,7.0,1008.6,26414.02,697.62,Yes,Yes,Yes,Solved,Poor Website,0
12,F,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,15.0,123.24,35446.3,525.38,Yes,No,No,Not Applicable,Poor Customer Service,1
44,F,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8.0,567.61,40417.08,697.62,Yes,No,No,Not Applicable,Quality Customer Care,0
33,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,19.0,31.96,34583.68,561.63,No,Yes,Yes,Solved,Poor Website,1
41,F,City,Basic Membership,No,Without Offers,Desktop,Wi-Fi,10.0,112.52,29029.06,673.93,Yes,No,Yes,Unsolved,Poor Website,1
20,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10.0,31.49,34453.92,592.99,No,Yes,Yes,Unsolved,No reason specified,1
52,M,City,Basic Membership,No,Without Offers,Desktop,Fiber_Optic,4.0,375.35,19105.17,504.58,Yes,No,No,Not Applicable,Too many ads,1
49,F,City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,15.0,111.45,27050.73,665.78,Yes,No,No,Not Applicable,Poor Website,1
15,F,Village,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21.0,62.04,16796.24,845.42,No,Yes,No,Not Applicable,Products always in Stock,0
49,F,City,No Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21.0,-726.0101198,34709.08,628.21,No,Yes,No,Not Applicable,No reason specified,1
35,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,5.0,38.22,28910.33,697.62,No,Yes,Yes,No Information Available,Poor Product Quality,1
62,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,106.62,19193.91,759.2,No,Yes,No,Not Applicable,Too many ads,0
36,M,City,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15.0,346.82,48854.61,683.33,No,Yes,Yes,No Information Available,Poor Product Quality,1
55,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,3.0,571.11,33446.83,789.77,No,Yes,No,Not Applicable,Poor Website,0
30,M,City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,275.99,28165.43,641.6,No,Yes,No,Not Applicable,Poor Customer Service,1
50,M,City,Gold Membership,No,Without Offers,Desktop,Mobile_Data,24.0,192.1,52762.81,776.09,No,Yes,Yes,Unsolved,Products always in Stock,0
35,Unknown,City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,18.0,1117.62503,27891.86,592.81,Yes,No,No,Not Applicable,Too many ads,1
40,F,Village,Silver Membership,Yes,Without Offers,Smartphone,Fiber_Optic,,92.58,38581.93,785.9,No,Yes,No,Not Applicable,Poor Customer Service,0
35,M,City,No Membership,No,Without Offers,Smartphone,Mobile_Data,14.0,198.03,34950.97,624.23,Yes,No,No,Not Applicable,Poor Customer Service,1
62,F,City,No Membership,No,Without Offers,Desktop,Mobile_Data,6.0,286.36,5329.46,544.39,No,Yes,No,Not Applicable,No reason specified,1
14,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,19.0,314.79,13363.63,613.69,No,Yes,No,Not Applicable,No reason specified,1
13,M,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13.0,118.77,13528.49,776.78,Yes,No,Yes,Solved in Follow-up,Reasonable Price,0
46,M,City,No Membership,No,Without Offers,Desktop,Mobile_Data,17.0,142.8,15273.38,510.95,Yes,No,No,Not Applicable,Too many ads,1
63,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,18.0,32.09,12117.44,775.91,No,Yes,No,Not Applicable,Poor Customer Service,0
21,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14.0,31.6,25314.14,614.59,No,Yes,No,Not Applicable,Poor Website,1
36,F,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,16.0,432.71,26279.13,684.52,No,Yes,Yes,Unsolved,Poor Customer Service,1
59,M,City,Gold Membership,No,Without Offers,Desktop,Wi-Fi,12.0,1168.043915,27901.71,624.9,No,Yes,No,Not Applicable,Too many ads,1
52,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16.0,-728.4780395,48981.41,766.98,Yes,No,No,Not Applicable,User Friendly Website,0
31,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,12.0,-681.969277,37310.44,656.28,No,Yes,No,Not Applicable,Poor Customer Service,1
17,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21.0,56.07,4604.74,233.436602,Yes,No,Yes,Solved in Follow-up,No reason specified,1
16,F,Town,Silver Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,,697.23,14591.89,748.47,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,0
38,M,City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16.0,43.68,43941.86,312.5159301,Yes,No,Yes,No Information Available,Poor Website,1
16,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,11.0,157.86,16488.84,604.47,Yes,No,No,Not Applicable,No reason specified,1
36,F,Town,Platinum Membership,No,Without Offers,Smartphone,Wi-Fi,19.0,64.69,49332.0,701.62,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,0
48,M,Town,Premium Membership,No,Without Offers,Smartphone,Wi-Fi,12.0,171.69,45087.4,790.42,No,Yes,Yes,Solved,Poor Product Quality,0
56,F,Town,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,9.0,-705.2399838,41933.42,701.83,Yes,No,Yes,No Information Available,Poor Product Quality,0
34,F,Town,Platinum Membership,Yes,Without Offers,Smartphone,Fiber_Optic,9.0,80.82,33834.35,1201.243073,No,Yes,Yes,No Information Available,Poor Website,0
22,F,Village,No Membership,No,Without Offers,Smartphone,Wi-Fi,,287.05,36126.02,190.4974405,No,Yes,Yes,No Information Available,Too many ads,1
31,F,Village,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17.0,222.12,12676.41,774.5,Yes,Yes,No,Not Applicable,Products always in Stock,0
47,F,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,,93.65,10061.67,795.7,Yes,No,No,Not Applicable,Reasonable Price,0
28,F,City,Gold Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,3.0,-720.8729848,37488.13,723.28,Yes,No,Yes,Unsolved,Reasonable Price,0
32,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,22.0,34.44,10803.41,538.68,Yes,No,No,Not Applicable,Poor Customer Service,1
12,M,Town,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,13.0,183.79,43823.48,576.32,No,Yes,Yes,Solved in Follow-up,Poor Website,1
40,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,4.0,536.25,34615.41,705.83,Yes,No,Yes,No Information Available,Too many ads,1
45,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,8.0,34.94,90914.32,772.12,Yes,No,No,Not Applicable,User Friendly Website,0
37,F,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16.0,62.79,37918.34,783.69,Yes,No,No,Not Applicable,No reason specified,0
21,M,Village,Gold Membership,Yes,Without Offers,Desktop,Mobile_Data,16.0,31.18,4588.5,170.8010949,No,Yes,Yes,Unsolved,Poor Customer Service,1
49,M,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,14.0,297.2,40452.01,417.4571995,Yes,No,No,Not Applicable,Reasonable Price,0
36,M,City,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16.0,39.57,45767.5,727.2,Yes,No,No,Not Applicable,Poor Product Quality,0
42,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,19.0,33.9,22230.29,781.24,Yes,No,No,Not Applicable,Poor Product Quality,0
58,M,City,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,16.0,858.05,29935.8,605.01,No,Yes,Yes,No Information Available,No reason specified,1
37,M,Village,Premium Membership,No,Without Offers,Smartphone,Fiber_Optic,2.0,142.83,8236.49,713.3,Yes,No,No,Not Applicable,Quality Customer Care,0
41,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,12.0,-979.7220301,10666.9,765.65,Yes,No,No,Not Applicable,No reason specified,0
47,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,16.0,60.48,40978.98,607.08,No,Yes,No,Not Applicable,Poor Customer Service,1
52,F,City,Gold Membership,No,Without Offers,Desktop,Mobile_Data,7.0,34.45,36397.14,697.62,Yes,No,No,Not Applicable,Poor Website,1
39,M,Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,20.0,233.88,11053.35,180.1899592,Yes,No,No,Not Applicable,Poor Product Quality,0
57,F,City,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,,47.62,84835.14,697.62,No,Yes,Yes,Unsolved,Reasonable Price,0
